trade_idx,taker_id,maker_id,price,qty
0,10,4,10013,31
1,14,12,10043,5
2,14,11,10038,24
3,16,11,10038,14
4,18,17,10024,18
5,22,17,10024,14
6,23,16,10029,6
7,24,23,10042,5
8,24,13,10020,30
9,24,4,10013,18
10,26,25,10044,40
11,26,4,10013,15
12,26,20,10009,3
13,27,20,10009,55
14,27,2,9993,10
15,27,6,9993,11
16,27,5,9992,15
17,31,30,9999,63
18,33,30,9999,26
19,33,32,9999,3
20,41,38,10023,18
21,47,43,10019,17
22,47,37,10011,18
23,47,35,10010,6
24,48,35,10010,27
25,49,35,10010,35
26,49,32,9999,2
27,49,40,9996,47
28,51,38,10023,50
29,51,34,10028,2
30,51,29,10036,1
31,52,29,10036,20
32,57,52,10037,10
33,58,52,10037,58
34,58,53,10017,13
35,64,59,10023,71
36,65,59,10023,27
37,65,61,10024,40
38,66,62,10018,51
39,68,61,10024,26
40,68,36,10039,59
41,70,62,10018,7
42,73,71,10019,46
43,73,62,10018,16
44,75,62,10018,17
45,75,53,10017,2
46,79,53,10017,36
47,79,50,10010,29
48,80,78,10030,72
49,84,50,10010,16
50,85,78,10030,14
51,88,85,10030,34
52,88,86,10012,8
53,88,50,10010,8
54,89,50,10010,3
55,89,82,10007,46
56,89,40,9996,34
57,90,40,9996,9
58,90,5,9992,51
59,94,5,9992,15
60,94,69,9992,23
61,98,93,10007,72
62,98,97,10007,11
63,101,97,10007,42
64,101,95,10013,16
65,102,101,10019,18
66,102,69,9992,56
67,102,54,9991,9
68,103,54,9991,72
69,103,55,9991,9
70,106,55,9991,31
71,106,67,9991,66
72,109,104,10000,11
73,110,104,10000,35
74,111,67,9991,17
75,111,21,9985,35
76,113,21,9985,14
77,113,19,9984,36
78,113,60,9982,10
79,114,60,9982,51
80,114,83,9982,29
81,114,3,9981,9
82,116,115,9994,24
83,116,3,9981,4
84,117,3,9981,36
85,117,44,9979,8
86,117,87,9978,52
87,118,104,10000,37
88,121,120,9997,32
89,122,104,10000,10
90,122,108,10000,65
91,124,108,10000,16
92,124,107,10009,21
93,124,112,10017,26
94,124,105,10021,19
95,125,120,9997,52
96,126,120,9997,8
97,126,87,9978,44
98,126,100,9973,28
99,126,15,9971,3
100,134,105,10021,3
101,135,129,10011,16
102,135,128,10009,37
103,135,133,9990,4
104,139,136,10005,32
105,142,136,10005,51
106,142,141,10000,4
107,142,140,9996,14
108,144,140,9996,15
109,146,140,9996,33
110,151,145,10003,37
111,152,145,10003,8
112,152,150,10019,15
113,152,105,10021,65
114,156,154,10012,12
115,156,140,9996,2
116,156,133,9990,26
117,156,155,9983,2
118,156,131,9981,8
119,156,137,9981,2
120,159,158,10009,28
121,159,130,9978,32
122,162,161,10011,72
123,163,105,10021,9
124,163,119,10021,85
125,167,119,10021,7
126,167,123,10027,37
127,168,164,10006,40
128,170,123,10027,25
129,170,169,10027,17
130,170,91,10028,55
131,172,171,10018,53
132,172,164,10006,9
133,174,164,10006,41
134,176,164,10006,2
135,176,160,9990,66
136,177,130,9978,17
137,179,176,9980,4
138,181,179,10020,3
139,187,184,10022,32
140,187,91,10028,17
141,188,179,10020,28
142,189,179,10020,20
143,189,180,10016,38
144,190,130,9978,34
145,195,190,9978,64
146,195,192,9987,22
147,195,191,10011,5
148,195,189,10014,8
149,200,153,9975,77
150,200,15,9971,13
151,209,201,9974,40
152,209,206,9983,7
153,211,15,9971,2
154,214,213,9974,57
155,214,206,9983,10
156,215,206,9983,34
157,216,204,9986,31
158,216,198,9990,24
159,220,219,9979,23
160,222,219,9979,43
161,223,219,9979,14
162,223,221,9983,44
163,223,198,9990,11
164,224,15,9971,41
165,226,225,9976,83
166,226,198,9990,7
167,227,198,9990,11
168,229,198,9990,36
169,232,229,9991,7
170,234,15,9971,41
171,234,45,9968,47
172,235,232,9984,91
173,235,231,10000,6
174,236,231,10000,27
175,236,199,10001,32
176,236,230,10002,18
177,238,237,9976,14
178,241,237,9976,45
179,242,237,9976,20
180,242,230,10002,14
181,244,243,9973,27
182,249,247,9996,62
183,252,250,9986,25
184,255,253,9993,57
185,257,255,9981,38
186,257,247,9996,1
187,258,247,9996,34
188,258,230,10002,47
189,259,243,9973,16
190,260,230,10002,15
191,261,260,10007,5
192,264,261,9999,82
193,264,245,10010,1
194,268,265,9977,78
195,272,271,10003,8
196,272,245,10010,21
197,273,269,9998,30
198,275,269,9998,5
199,276,269,9998,7
200,276,268,9996,21
201,279,262,9976,49
202,280,262,9976,17
203,280,243,9973,31
204,280,267,9973,26
205,281,276,9978,8
206,284,276,9978,10
207,284,278,9987,68
208,284,245,10010,3
209,286,285,9984,61
210,286,245,10010,18
211,288,245,10010,44
212,288,274,10011,16
213,292,290,9998,36
214,295,293,9978,23
215,299,296,9992,33
216,300,299,9992,63
217,300,290,9998,30
218,303,293,9978,55
219,303,297,9975,8
220,303,267,9973,21
221,306,305,9987,55
222,307,305,9987,11
223,307,267,9973,22
224,307,294,9972,5
225,307,45,9968,40
226,307,256,9967,2
227,308,290,9998,31
228,308,301,10000,36
229,308,298,10002,25
230,310,298,10002,17
231,315,312,9996,5
232,318,317,9991,41
233,318,312,9996,37
234,319,312,9996,58
235,319,298,10002,21
236,319,314,10006,7
237,321,320,9977,8
238,321,314,10006,31
239,321,304,10007,27
240,322,304,10007,73
241,322,274,10011,14
242,325,323,9973,24
243,325,274,10011,35
244,327,274,10011,10
245,327,311,10012,33
246,328,324,9968,75
247,331,311,10012,18
248,331,202,10013,2
249,331,270,10013,10
250,333,270,10013,3
251,333,189,10014,10
252,333,228,10014,2
253,335,332,10011,6
254,335,330,10007,74
255,336,330,10007,7
256,337,330,10007,18
257,340,337,9987,22
258,342,337,9987,55
259,342,338,10001,41
260,346,343,9980,85
261,351,343,9980,9
262,351,347,9990,33
263,352,347,9990,13
264,352,350,9994,51
265,352,338,10001,24
266,354,338,10001,14
267,355,228,10014,4
268,356,329,9978,62
269,356,348,9978,19
270,357,348,9978,14
271,360,228,10014,24
272,361,228,10014,56
273,361,193,10015,27
274,362,358,10012,11
275,367,358,10012,15
276,367,366,10002,70
277,367,365,9996,2
278,367,363,9992,9
279,369,363,9992,7
280,370,193,10015,55
281,370,212,10016,17
282,370,246,10017,10
283,372,363,9992,20
284,372,348,9978,21
285,372,364,9978,2
286,375,373,10003,8
287,376,373,10003,44
288,376,374,9995,27
289,378,374,9995,62
290,383,364,9978,1
291,383,341,9975,17
292,384,378,9979,20
293,385,381,9989,35
294,385,379,9999,6
295,387,386,9981,72
296,389,379,9999,87
297,389,377,10000,2
298,392,391,9995,28
299,395,386,9981,5
300,395,384,9980,12
301,399,392,9986,29
302,399,377,10000,49
303,401,400,9990,14
304,402,377,10000,4
305,402,397,10008,23
306,404,400,9990,25
307,407,400,9990,8
308,407,384,9980,9
309,409,408,9993,74
310,410,408,9993,2
311,411,408,9993,7
312,412,408,9993,6
313,412,397,10008,17
314,412,388,10010,14
315,417,414,9998,72
316,418,388,10010,67
317,418,405,10010,9
318,423,414,9998,17
319,423,413,9995,31
320,424,421,9999,34
321,424,405,10010,25
322,425,405,10010,30
323,427,413,9995,24
324,427,420,9993,7
325,429,405,10010,24
326,431,430,9994,16
327,434,431,10008,79
328,434,420,9993,12
329,435,420,9993,29
330,435,419,9992,11
331,435,428,9986,25
332,437,428,9986,49
333,437,384,9980,6
334,438,405,10010,1
335,438,432,10011,38
336,440,432,10011,21
337,441,432,10011,3
338,442,441,10014,64
339,444,442,9990,5
340,448,442,9990,31
341,448,445,9992,17
342,449,439,9982,1
343,454,450,9987,72
344,454,453,9985,13
345,454,439,9982,4
346,456,439,9982,46
347,456,384,9980,21
348,460,384,9980,9
349,462,460,9978,49
350,462,459,9989,6
351,462,445,9992,41
352,463,341,9975,46
353,463,396,9974,29
354,465,445,9992,25
355,465,452,9994,6
356,467,465,10002,67
357,470,467,9985,11
358,473,467,9985,6
359,473,468,9986,17
360,473,472,9993,29
361,475,396,9974,30
